id,"title","description","image_url",price,"created_at","updated_at","artist","typo"
5945,"The Fling","Nyman, Michael","The_Piano.jpg",8.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5946,"Deep Into The Forest","Nyman, Michael","The_Piano.jpg",10.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5947,"The Mood That Passes Through You","Nyman, Michael","The_Piano.jpg",11.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5948,"The Embrance","Nyman, Michael","The_Piano.jpg",13.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5949,"The Sacrifice","Nyman, Michael","The_Piano.jpg",15.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5950,"I Clipped Your Wing","Nyman, Michael","The_Piano.jpg",16.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5951,"The Wounded","Nyman, Michael","The_Piano.jpg",17.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5952,"All Imperfect Things","Nyman, Michael","The_Piano.jpg",18.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5953,"Dreams Of A Journey","Nyman, Michael","The_Piano.jpg",19.19,"2011-10-19 19:18:34","2011-10-19 19:18:34","Michael Nyman","audio-CD"
5954,"Suite No. 1 in G Major for Cello - Prelude","Bach, Johann Sebastian (1685 - 1750)","The_Essential_Yo-Yo_Ma.jpg",1.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5955,"II. Largo From \"Winter\", Op. 8, No. 4, RV 297 from The Four Seasons","Vivaldi, Antonio (1678-1741)","The_Essential_Yo-Yo_Ma.jpg",2.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Antonio Vivaldi","audio-CD"
5956,"Jesus, Bleibet Meine Freude (Jesu, Joy Of Mans Desiring), BWV 147","Bach, Johann Sebastian (1685 - 1750)","The_Essential_Yo-Yo_Ma.jpg",3.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5957,"Schafe können sicher weiden (Sheep May Safely Graze), BWV 208","Bach, Johann Sebastian (1685 - 1750)","The_Essential_Yo-Yo_Ma.jpg",4.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5958,"Wachet auf, ruft uns die Stimme (Sleepers Awake), BWV 645","Bach, Johann Sebastian (1685 - 1750)","The_Essential_Yo-Yo_Ma.jpg",5.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5959,"Carnival of the Animals - The Swan","Saint-Saëns, Camille (1835-1921)","The_Essential_Yo-Yo_Ma.jpg",6.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5960,"Havanaise, Op. 83","Saint-Saëns, Camille (1835-1921)","The_Essential_Yo-Yo_Ma.jpg",7.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5961,"Thaïs - \"Méditation\"","Massenet, Jules (1842 - 1912)","The_Essential_Yo-Yo_Ma.jpg",8.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5962,"Liebesfreud","Kreisler, Fritz (1875 - 1937)","The_Essential_Yo-Yo_Ma.jpg",9.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5963,"Three Preludes - Prelude No. 1 (Allegro ben ritmato e deciso)","Gershwin, George (1898-1937)","The_Essential_Yo-Yo_Ma.jpg",10.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5964,"Vocalise","Rachmaninoff, Sergei (1873-1943)","The_Essential_Yo-Yo_Ma.jpg",11.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5965,"Sonata in D Minor for Cello and Piano, Op. 40 - IV. Allegro","Shostakovich, Dmitri (1906-1975)","The_Essential_Yo-Yo_Ma.jpg",12.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5966,"Andante Cantabile for Cello Solo and String Orchestra, Op. Posth.","Tchaikovsky, Piotr Ilyich (1840-1893)","The_Essential_Yo-Yo_Ma.jpg",13.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5967,"Quartet No. 1 in G Minor for Piano and Strings, Op. 25 - IV. Rondo Alla Zingarese. Presto","Brahms, Johannes (1833-1897)","The_Essential_Yo-Yo_Ma.jpg",14.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5968,"Concerto In B Minor For Cello And Orchestra, Op. 104 (III. Finale. Allegro Moderato)","Dvorak, Antonin (1841-1904)","The_Essential_Yo-Yo_Ma.jpg",15.15,"2011-10-19 19:18:34","2011-10-19 19:18:34","Dvorák","audio-CD"
5969,"Cristal","Mariano, Cesar Camarago (*1944)","The_Essential_Yo-Yo_Ma.jpg",1.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5970,"A lenda do caboclo","Villa-Lobos, Heitor (1887-1959)","The_Essential_Yo-Yo_Ma.jpg",2.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5971,"Chega De Saudade","Jobim, Antônio Carlos (1927-1994)","The_Essential_Yo-Yo_Ma.jpg",3.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5972,"Wapango","D Rivera, Paquito (*1948)","The_Essential_Yo-Yo_Ma.jpg",4.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5973,"Libertango","Piazzolla, Astor (1921 - 1992)","The_Essential_Yo-Yo_Ma.jpg",5.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5974,"Appalachia Waltz (Solo Cello Version)","O Connor, Mark (*1961)","The_Essential_Yo-Yo_Ma.jpg",6.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5975,"Butterflys Day Out","O Connor, Mark (*1961)","The_Essential_Yo-Yo_Ma.jpg",7.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5976,"Three Pieces for Solo Cello - Pickin","Williams, John (*1932)","The_Essential_Yo-Yo_Ma.jpg",9.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5977,"Simple Gifts","Traditional","The_Essential_Yo-Yo_Ma.jpg",10.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5978,"The Mission - Gabriels Oboe","Morricone, Ennio (*1928)","The_Essential_Yo-Yo_Ma.jpg",11.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5979,"The Mission - The Falls","Morricone, Ennio (*1928)","The_Essential_Yo-Yo_Ma.jpg",12.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5980,"Crouching Tiger, Hidden Dragon - The Eternal Vow","Dun, Tan (*1957)","The_Essential_Yo-Yo_Ma.jpg",13.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5981," A Lament in Rondo Form for Solo Cello, Op. 12","Wilde, David (*1935)","The_Essential_Yo-Yo_Ma.jpg",14.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5982,"Baroque In Rhythm - Suite for Cello and Jazz Piano Trio","Bolling, Claude (*1930)","The_Essential_Yo-Yo_Ma.jpg",18.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5983,"Anything Goes","Porter, Cole (1891 - 1988)","The_Essential_Yo-Yo_Ma.jpg",19.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5984,"I Could Have Danced All Night","Loewe, Frederick (1901 - 1988)","The_Essential_Yo-Yo_Ma.jpg",20.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5985,"Chi passa persta strada","Azzaiolo, Filippo (1530 - 1569)","The_Essential_Yo-Yo_Ma.jpg",15.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5986,"Mido Mountain","Traditional, Chinese","The_Essential_Yo-Yo_Ma.jpg",16.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5987,"Mohini (Enchantment)","Das,Sandeep  and Indrajit Dey","The_Essential_Yo-Yo_Ma.jpg",17.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Yo-Yo Ma","audio-CD"
5988,"River Blues","Gus Kahn, Neil Moret","R._Crumbs_Music_Sampler.jpg",1.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb and his Keep-on-Truckin Orchestra","audio-CD"
5989,"Wisconsin Wiggles","Traditional","R._Crumbs_Music_Sampler.jpg",2.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb and his Keep-on-Truckin Orchestra","audio-CD"
5990,"Get A Load Of This","Traditional,Al Dodge  and Robert Armstrong","R._Crumbs_Music_Sampler.jpg",3.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5991,"Cheap Suit Special","Traditional, Al Dodge","R._Crumbs_Music_Sampler.jpg",4.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5992,"My Girls Pussy","Traditional","R._Crumbs_Music_Sampler.jpg",5.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5993,"Suits Crybaby Blues","Traditional, Robert Armstrong, Terry Zwigoff, R. Crumb","R._Crumbs_Music_Sampler.jpg",6.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5994,"Fine artiste (Radio Broadcast)","Traditional, Robert Armstrong, Al Dodge","R._Crumbs_Music_Sampler.jpg",7.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5995,"Hula Melody (Radio Broadcast)","Traditional","R._Crumbs_Music_Sampler.jpg",8.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5996,"Wild Horse (Radio Broadcast)","Traditional","R._Crumbs_Music_Sampler.jpg",9.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5997,"Three-In-One Two-Step (Radio Broadcast)","Traditional","R._Crumbs_Music_Sampler.jpg",10.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5998,"Creole Belles (Radio Broadcast)","Traditional","R._Crumbs_Music_Sampler.jpg",11.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
5999,"Georgia Camp Meeting (Radio Broadcast)","Traditional","R._Crumbs_Music_Sampler.jpg",12.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","R. Crumb And His Cheap Suit Serenaders","audio-CD"
6000,"Cruelle Tendresse","Louis Peguri","R._Crumbs_Music_Sampler.jpg",13.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Les Primitifs Du Futur","audio-CD"
6001,"Valse dAmour","L. R. Heymann","R._Crumbs_Music_Sampler.jpg",14.20,"2011-10-19 19:18:34","2011-10-19 19:18:34","Les Primitifs Du Futur","audio-CD"
6002,"Mazurkas","Traditional","R._Crumbs_Music_Sampler.jpg",15.20,"2011-10-19 19:18:35","2011-10-19 19:18:35","Fiddlin Ian McCamy Quartette","audio-CD"
6003,"Schottische","Traditional","R._Crumbs_Music_Sampler.jpg",16.20,"2011-10-19 19:18:35","2011-10-19 19:18:35","Fiddlin Ian McCamy Quartette","audio-CD"
6004,"In The Pines (Live Performance)","Traditional","R._Crumbs_Music_Sampler.jpg",17.20,"2011-10-19 19:18:35","2011-10-19 19:18:35","Crumb Family","audio-CD"
6005,"St. James Infirmary (Live Performance)","Traditional","R._Crumbs_Music_Sampler.jpg",18.20,"2011-10-19 19:18:35","2011-10-19 19:18:35","Crumb Family","audio-CD"
6006,"Little Buttercup (Live Performance)","Frank Signorelli","R._Crumbs_Music_Sampler.jpg",19.20,"2011-10-19 19:18:35","2011-10-19 19:18:35","Crumb Family","audio-CD"
6007,"Baby Face (Live Performance)","Benny Davis, Harry Akst","R._Crumbs_Music_Sampler.jpg",20.20,"2011-10-19 19:18:35","2011-10-19 19:18:35","Crumb Family","audio-CD"
6008,"Just Friends",NULL,"Jazz_Classics.jpg",1.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Cannonball Adderley","audio-CD"
6009,"Scrapple From The Apple",NULL,"Jazz_Classics.jpg",2.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6010,"Night Walker",NULL,"Jazz_Classics.jpg",3.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Herbie Hancock","audio-CD"
6011,"Green Dolphin Street",NULL,"Jazz_Classics.jpg",4.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Eddie Harris","audio-CD"
6012,"Body And Soul",NULL,"Jazz_Classics.jpg",5.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Coleman Hawkins","audio-CD"
6013,"God Bless The Child",NULL,"Jazz_Classics.jpg",6.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Billie Holiday","audio-CD"
6014,"Groovin High",NULL,"Jazz_Classics.jpg",7.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Charlie Parker","audio-CD"
6015,"Baubles,Bangles  and Beads",NULL,"Jazz_Classics.jpg",9.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Herbie Mann","audio-CD"
6016,"Jumping The Blues",NULL,"Jazz_Classics.jpg",10.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Jimmy McGriff","audio-CD"
6017,"Yesterdays",NULL,"Jazz_Classics.jpg",11.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Charles Mingus","audio-CD"
6018,"Stealin Apples",NULL,"Jazz_Classics.jpg",12.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","André Previn","audio-CD"
6019,"Lester Leaps In",NULL,"Jazz_Classics.jpg",13.13,"2011-10-19 19:18:35","2011-10-19 19:18:35","Sonny Stitt","audio-CD"
6020,"Bolero","Ravel, Maurice (1875-1937)","Ravel:_Bolero,_Rapsodie_Espagnole,_etc..jpg",1.40,"2011-10-19 19:18:35","2011-10-19 19:18:35","Charles Dutoit; Montreal Symphony Orchestra","audio-CD"
6021,"Alborada del gracioso","Ravel, Maurice (1875-1937)","Ravel:_Bolero,_Rapsodie_Espagnole,_etc..jpg",2.40,"2011-10-19 19:18:35","2011-10-19 19:18:35","Charles Dutoit; Montreal Symphony Orchestra","audio-CD"
6022,"Raposodie Espagnole","Ravel, Maurice (1875-1937)","Ravel:_Bolero,_Rapsodie_Espagnole,_etc..jpg",3.40,"2011-10-19 19:18:35","2011-10-19 19:18:35","Charles Dutoit; Montreal Symphony Orchestra","audio-CD"
6023,"La Valse","Ravel, Maurice (1875-1937)","Ravel:_Bolero,_Rapsodie_Espagnole,_etc..jpg",4.40,"2011-10-19 19:18:35","2011-10-19 19:18:35","Charles Dutoit; Montreal Symphony Orchestra","audio-CD"
6024,"Give Peace A Chance (& Medley)","John Lennon","Shaved_Fish.jpg",1.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6025,"Instant Karma","John Lennon","Shaved_Fish.jpg",3.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6026,"Power To The People","John Lennon","Shaved_Fish.jpg",4.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6027,"Mother","John Lennon","Shaved_Fish.jpg",5.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6028,"Woman Is The Nigger Of The World","John Lennon","Shaved_Fish.jpg",6.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6029,"Imagine","John Lennon","Shaved_Fish.jpg",7.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6030,"Whatever Gets You Thru The Night","John Lennon","Shaved_Fish.jpg",8.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6031,"Mind Games","John Lennon","Shaved_Fish.jpg",9.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6032,"Posn9Dream","John Lennon","Shaved_Fish.jpg",10.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6033,"HappyChristmas  and Give Peace A Chance","John Lennon","Shaved_Fish.jpg",11.11,"2011-10-19 19:18:35","2011-10-19 19:18:35","John Lennon","audio-CD"
6034,"Finlandia - Sibelius","Jean Sibelius","Finlandia.jpg",2.20,"2011-10-19 19:18:35","2011-10-19 19:18:35","Sigridsson, Pianist","audio-CD"
6035,"Romeo  and Juliet - Fantasy Overture","Tchaikovsky","Tchaikovsky:_Ballets.jpg",1.14,"2011-10-19 19:18:35","2011-10-19 19:18:35","Peter Wohlert; Berlin Radio Symphony Orchestra","audio-CD"
6036,"The Sleeping Beauty Suite, Op. 66a - 1. Introduction - La Fee Des Lilas","Tchaikovsky","Tchaikovsky:_Ballets.jpg",2.14,"2011-10-19 19:18:35","2011-10-19 19:18:35","Peter Wohlert; Berlin Radio Symphony Orchestra","audio-CD"
6037,"The Sleeping Beauty Suite. Op. 66a - 2. Pas Daction","Tchaikovsky","Tchaikovsky:_Ballets.jpg",3.14,"2011-10-19 19:18:35","2011-10-19 19:18:35","Peter Wohlert; Berlin Radio Symphony Orchestra","audio-CD"
6038,"The Sleeping Beauty Suite. Op. 66a - 3. Panorama","Tchaikovsky","Tchaikovsky:_Ballets.jpg",4.14,"2011-10-19 19:18:35","2011-10-19 19:18:35","Peter Wohlert; Berlin Radio Symphony Orchestra","audio-CD"
6039,"The Sleeping Beauty Suite. Op. 66a - 4. Valse","Tchaikovsky","Tchaikovsky:_Ballets.jpg",5.14,"2011-10-19 19:18:35","2011-10-19 19:18:35","Peter Wohlert; Berlin Radio Symphony Orchestra","audio-CD"
6040,"Swan Lake Suite, Op. 20 - 7. Danse Napolitaine","Tchaikovsky","Tchaikovsky:_Ballets.jpg",13.14,"2011-10-19 19:18:35","2011-10-19 19:18:35","Peter Wohlert; Berlin Radio Symphony Orchestra","audio-CD"
6041,"Trois Gnossiennes - Premier",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",1.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6042,"Trois Gnossiennes - Deuxieme",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",2.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6043,"Trois Gnossiennes - Troisieme",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",3.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6044,"Nocturnes - Premier",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",4.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6045,"Nocturnes - Deuxieme",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",5.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6046,"Nocturnes - Troisieme",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",6.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6047,"Je Te Veux (Valse pour piano)",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",7.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6048,"Pieces Froides - No.1",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",8.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6049,"Pieces Froides - No.2",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",9.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6050,"Pieces Froides - No.3",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",10.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6051,"Les Trois Valses Distinguees du Precieux Degoute - Sa taille",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",11.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6052,"Les Trois Valses Distinguees du Precieux Degoute - Son binocle",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",12.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6053,"Les Trois Valses Distinguees du Precieux Degoute - Ses jambes",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",13.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6054,"Trois Gymnopedies - Lent et douloureux",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",14.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6055,"Trois Gymnopedies - Lent et triste",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",15.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6056,"Trois Gymnopedies - Lent et grave",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",16.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6057,"Pieces Froides (Danses de travers) - No.1",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",17.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6058,"Pieces Froides (Danses de travers) - No.2",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",18.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6059,"Pieces Froides (Danses de travers) - No.3",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",19.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6060,"Trois Sarabandes - No.1",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",20.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6061,"Trois Sarabandes - No.2",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",21.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6062,"Trois Sarabandes - No.3",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",22.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6063,"Avant-Dernieres Pansees - Idylle a Debussy",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",23.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6064,"Avant-Dernieres Pansees - Aubade a Dukas",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",24.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6065,"Avant-Dernieres Pansees - Meditation a Roussel",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",25.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6066,"Poudre D or (Valse)",NULL,"Gymnopedies_-_The_Music_of_Erik_Satie.jpg",26.26,"2011-10-19 19:18:35","2011-10-19 19:18:35","Raymond Spasovski","audio-CD"
6067,"Jeru","Gerry Mulligan","The_Complete_Birth_Of_The_Cool.jpg",2.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6068,"Venus De Milo","Gerry Mulligan","The_Complete_Birth_Of_The_Cool.jpg",4.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6069,"Budo","Bud Powell, Miles Davis","The_Complete_Birth_Of_The_Cool.jpg",5.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6070,"Deception","Miles Davis","The_Complete_Birth_Of_The_Cool.jpg",6.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6071,"Boplicity","Cleo Henry","The_Complete_Birth_Of_The_Cool.jpg",8.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6072,"Rocker","Gerry Mulligan","The_Complete_Birth_Of_The_Cool.jpg",9.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6073,"Israel","John Carisi","The_Complete_Birth_Of_The_Cool.jpg",10.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6074,"Rouge","John Lewis","The_Complete_Birth_Of_The_Cool.jpg",11.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6075,"Darn That Dream","Jimmy Van Heusen, Edgar DeLange","The_Complete_Birth_Of_The_Cool.jpg",12.25,"2011-10-19 19:18:35","2011-10-19 19:18:35","Miles Davis","audio-CD"
6076,"Symphony Sid Announces The Band (Live)",NULL,"The_Complete_Birth_Of_The_Cool.jpg",14.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6077,"Move (Live)","Denzil Best","The_Complete_Birth_Of_The_Cool.jpg",15.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6078,"Why Do I Love You (Live)","Buddy G. DeSylva, George Gershwin, Ira Gershwin","The_Complete_Birth_Of_The_Cool.jpg",16.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6079,"Godchild (Live)","George Wallington","The_Complete_Birth_Of_The_Cool.jpg",17.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6080,"Symphony Sid Introduction (Live)",NULL,"The_Complete_Birth_Of_The_Cool.jpg",18.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6081,"S il Vous Plait (Live)","John Lewis","The_Complete_Birth_Of_The_Cool.jpg",19.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6082,"Moon Dreams (Live)","Chummy MacGregor, Johnny Mercer","The_Complete_Birth_Of_The_Cool.jpg",20.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6083,"Darn That Dream (Live)","Eddie DeLange","The_Complete_Birth_Of_The_Cool.jpg",22.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
6084,"Budo (Hallucinations) (Live)","Bud Powell, Miles Davis","The_Complete_Birth_Of_The_Cool.jpg",25.25,"2011-10-19 19:18:36","2011-10-19 19:18:36","Miles Davis","audio-CD"
